                                                           Stdlib	                                                                                                                           Containers	                                                                                                                                              Batteries	                                                                                                        Base	                                            F#
Array.init : int -> (int -> 'a) -> 'a array	CCArray.init : int -> (int -> 'a) -> 'a array	BatArray.init : int -> (int -> 'a) -> 'a array		Array.init : (int -> (int -> 'a) -> 'a [])
		BatArray.insert : 'a array -> 'a -> int -> 'a array		
				Array.insertAt : ???
				Array.insertManyAt : ???
				Array.isEmpty : ('a [] -> bool)
		BatArray.is_sorted_by : ('a -> 'b) -> 'a array -> bool		
				Array.item : (int -> 'a [] -> 'a)
Array.iter : ('a -> unit) -> 'a array -> unit	CCArray.iter : ('a -> unit) -> 'a array -> unit	BatArray.iter : ('a -> unit) -> 'a array -> unit		Array.iter : (('a -> unit) -> 'a [] -> unit)
Array.iter2 : ('a -> 'b -> unit) -> 'a array -> 'b array -> unit	CCArray.iter2 : ('a -> 'b -> unit) -> 'a array -> 'b array -> unit	BatArray.iter2 : ('a -> 'b -> unit) -> 'a array -> 'b array -> unit		Array.iter2 : (('a -> 'b -> unit) -> 'a [] -> 'b [] -> unit)
		BatArray.iter2i : (int -> 'a -> 'b -> unit) -> 'a array -> 'b array -> unit		Array.iteri2 : ((int -> 'a -> 'b -> unit) -> 'a [] -> 'b [] -> unit)
Array.iteri : (int -> 'a -> unit) -> 'a array -> unit	CCArray.iteri : (int -> 'a -> unit) -> 'a array -> unit	BatArray.iteri : (int -> 'a -> unit) -> 'a array -> unit		Array.iteri : ((int -> 'a -> unit) -> 'a [] -> unit)
		BatArray.kahan_sum : float array -> float		
				Array.last : ('a [] -> 'a)
		BatArray.left : 'a array -> int -> 'a array		
				Array.length : ('a [] -> int)
	CCArray.lookup : cmp:'a ord -> 'a -> 'a t -> int option			
	CCArray.lookup_exn : cmp:'a ord -> 'a -> 'a t -> int			
Array.make_float : int -> float array	CCArray.make_float : int -> float array	BatArray.make_float : int -> float array		
Array.make_matrix : int -> int -> 'a -> 'a array array	CCArray.make_matrix : int -> int -> 'a -> 'a array array	BatArray.make_matrix : int -> int -> 'a -> 'a array array		
Array.map : ('a -> 'b) -> 'a array -> 'b array	CCArray.map : ('a -> 'b) -> 'a array -> 'b array	BatArray.map : ('a -> 'b) -> 'a array -> 'b array		Array.map : (('a -> 'b) -> 'a [] -> 'b [])
Array.map2 : ('a -> 'b -> 'c) -> 'a array -> 'b array -> 'c array	CCArray.map2 : ('a -> 'b -> 'c) -> 'a array -> 'b array -> 'c array	BatArray.map2 : ('a -> 'b -> 'c) -> 'a array -> 'b array -> 'c array		Array.map2 : (('a -> 'b -> 'c) -> 'a [] -> 'b [] -> 'c [])
				Array.map3 : (('a -> 'b -> 'c -> 'd) -> 'a [] -> 'b [] -> 'c [] -> 'd [])
				Array.mapFold : (('a -> 'b -> 'c * 'a) -> 'a -> 'b [] -> 'c [] * 'a)
				Array.mapFoldBack : (('a -> 'b -> 'c * 'b) -> 'a [] -> 'b -> 'c [] * 'b)
	CCArray.map_inplace : ('a -> 'a) -> 'a array -> unit			
Array.mapi : (int -> 'a -> 'b) -> 'a array -> 'b array	CCArray.mapi : (int -> 'a -> 'b) -> 'a array -> 'b array	BatArray.mapi : (int -> 'a -> 'b) -> 'a array -> 'b array		Array.mapi : ((int -> 'a -> 'b) -> 'a [] -> 'b [])
				Array.mapi2 : ((int -> 'a -> 'b -> 'c) -> 'a [] -> 'b [] -> 'c [])
		BatArray.max : 'a array -> 'a		Array.max : ('a [] -> 'a) when 'a : comparison
				Array.maxBy : (('a -> 'b) -> 'a [] -> 'a) when 'b : comparison
Array.mem : 'a -> 'a array -> bool	CCArray.mem : ?eq:('a -> 'a -> bool) -> 'a -> 'a t -> bool	BatArray.mem : 'a -> 'a array -> bool		
Array.memq : 'a -> 'a array -> bool	CCArray.memq : 'a -> 'a array -> bool	BatArray.memq : 'a -> 'a array -> bool		
		BatArray.min : 'a array -> 'a		Array.min : ('a [] -> 'a) when 'a : comparison
				Array.minBy : (('a -> 'b) -> 'a [] -> 'a) when 'b : comparison
		BatArray.min_max : 'a array -> 'a * 'a		
		BatArray.modify : ('a -> 'a) -> 'a array -> unit		
		BatArray.modifyi : (int -> 'a -> 'a) -> 'a array -> unit		
	CCArray.monoid_product : ('a -> 'b -> 'c) -> 'a t -> 'b t -> 'c t			
		BatArray.of_backwards : 'a BatEnum.t -> 'a array		
		BatArray.of_enum : 'a BatEnum.t -> 'a array		
Array.of_list : 'a list -> 'a array	CCArray.of_list : 'a list -> 'a array	BatArray.of_list : 'a list -> 'a array		Array.ofList : ('a list -> 'a [])
Array.of_seq : 'a Seq.t -> 'a array	CCArray.of_seq : 'a Seq.t -> 'a array	BatArray.of_seq : 'a Seq.t -> 'a array		Array.ofSeq : (seq<'a> -> 'a [])
		BatArray.ord : 'a BatOrd.ord -> 'a array BatOrd.ord		
				Array.pairwise : ('a [] -> ('a * 'a) [])
		BatArray.partition : ('a -> bool) -> 'a array -> 'a array * 'a array		Array.partition : (('a -> bool) -> 'a [] -> 'a [] * 'a [])
				Array.permute : ((int -> int) -> 'a [] -> 'a [])
				Array.pick : (('a -> 'b option) -> 'a [] -> 'b)
		BatArray.pivot_split : 'a BatOrd.ord -> 'a array -> 'a -> int * int		
	CCArray.pp : ?pp_start:unit printer -> ?pp_stop:unit printer -> ?pp_sep:unit printer -> 'a printer -> 'a t printer			
	CCArray.pp_i : ?pp_start:unit printer -> ?pp_stop:unit printer -> ?pp_sep:unit printer -> (int -> 'a printer) -> 'a t printer			
		BatArray.print : ?first:string -> ?last:string -> ?sep:string -> ('a, 'b) BatIO.printer -> ('a t, 'b) BatIO.printer		
	CCArray.random : 'a random_gen -> 'a t random_gen			
	CCArray.random_choose : 'a t -> 'a random_gen			
	CCArray.random_len : int -> 'a random_gen -> 'a t random_gen			
	CCArray.random_non_empty : 'a random_gen -> 'a t random_gen			
		BatArray.range : 'a array -> int BatEnum.t		
				Array.reduce : (('a -> 'a -> 'a) -> 'a [] -> 'a)
				Array.reduceBack : (('a -> 'a -> 'a) -> 'a [] -> 'a)
		BatArray.remove_at : int -> 'a array -> 'a array		Array.removeAt : ???
				Array.removeManyAt : ???
				Array.replicate : (int -> 'a -> 'a [])
	CCArray.rev : 'a t -> 'a t	BatArray.rev : 'a array -> 'a array		Array.rev : ('a [] -> 'a [])
	CCArray.reverse_in_place : 'a t -> unit	BatArray.rev_in_place : 'a array -> unit		
		BatArray.right : 'a array -> int -> 'a array		
	CCArray.scan_left : ('acc -> 'a -> 'acc) -> 'acc -> 'a t -> 'acc t			Array.scan : (('a -> 'b -> 'a) -> 'a -> 'b [] -> 'a [])
				Array.scanBack : (('a -> 'b -> 'b) -> 'a [] -> 'b -> 'b [])
				Array.set : ('a [] -> int -> 'a -> unit)
	CCArray.shuffle : 'a t -> unit	BatArray.shuffle : ?state:Random.State.t -> 'a array -> unit		
	CCArray.shuffle_with : Random.State.t -> 'a t -> unit			
		BatArray.singleton : 'a -> 'a array		Array.singleton : ('a -> 'a [])
				Array.skip : (int -> 'a [] -> 'a [])
				Array.skipWhile : (('a -> bool) -> 'a [] -> 'a [])
Array.sort : ('a -> 'a -> int) -> 'a array -> unit	CCArray.sort : ('a -> 'a -> int) -> 'a array -> unit	BatArray.sort : ('a -> 'a -> int) -> 'a array -> unit		
	CCArray.sort_generic : (module MONO_ARRAY with type elt = 'elt and type t = 'arr) -> cmp:('elt -> 'elt -> int) -> 'arr -> unit			
	CCArray.sort_indices : ('a -> 'a -> int) -> 'a t -> int array			
	CCArray.sort_ranking : ('a -> 'a -> int) -> 'a t -> int array			
	CCArray.sorted : ('a -> 'a -> int) -> 'a t -> 'a array			
				Array.sort : ('a [] -> 'a []) when 'a : comparison
				Array.sortBy : (('a -> 'b) -> 'a [] -> 'a []) when 'b : comparison
				Array.sortByDescending : (('a -> 'b) -> 'a [] -> 'a []) when 'b : comparison
				Array.sortDescending : ('a [] -> 'a []) when 'a : comparison
				Array.sortInPlace : ('a [] -> unit) when 'a : comparison
				Array.sortInPlaceBy : (('a -> 'b) -> 'a [] -> unit) when 'b : comparison
				Array.sortInPlaceWith : (('a -> 'a -> int) -> 'a [] -> unit)
				Array.sortWith : (('a -> 'a -> int) -> 'a [] -> 'a [])
Array.split : ('a * 'b) array -> 'a array * 'b array	CCArray.split : ('a * 'b) array -> 'a array * 'b array	BatArray.split : ('a * 'b) array -> 'a array * 'b array		
				Array.splitAt : (int -> 'a [] -> 'a [] * 'a [])
				Array.splitInto : (int -> 'a [] -> 'a [] [])
Array.stable_sort : ('a -> 'a -> int) -> 'a array -> unit	CCArray.stable_sort : ('a -> 'a -> int) -> 'a array -> unit	BatArray.stable_sort : ('a -> 'a -> int) -> 'a array -> unit		
Array.sub : 'a array -> int -> int -> 'a array	CCArray.sub : 'a array -> int -> int -> 'a array	BatArray.sub : 'a array -> int -> int -> 'a array		Array.sub : ('a [] -> int -> int -> 'a [])
		BatArray.sum : int array -> int		
				Array.sum : ???
				Array.sumBy : ???
	CCArray.swap : 'a t -> int -> int -> unit			
		BatArray.tail : 'a array -> int -> 'a array		
				Array.tail : ('a [] -> 'a [])
				Array.take : (int -> 'a [] -> 'a [])
				Array.takeWhile : (('a -> bool) -> 'a [] -> 'a [])
	CCArray.to_gen : 'a t -> 'a gen			
	CCArray.to_iter : 'a t -> 'a iter			
Array.to_list : 'a array -> 'a list	CCArray.to_list : 'a array -> 'a list	BatArray.to_list : 'a array -> 'a list		Array.toList : ('a [] -> 'a list)
Array.to_seq : 'a array -> 'a Seq.t	CCArray.to_seq : 'a t -> 'a Seq.t	BatArray.to_seq : 'a array -> 'a Seq.t		Array.toSeq : ('a [] -> seq<'a>)
Array.to_seqi : 'a array -> (int * 'a) Seq.t	CCArray.to_seqi : 'a array -> (int * 'a) Seq.t	BatArray.to_seqi : 'a array -> (int * 'a) Seq.t		
	CCArray.to_string : ?sep:string -> ('a -> string) -> 'a array -> string			
				Array.transpose : (seq<'a []> -> 'a [] [])
				Array.truncate : (int -> 'a [] -> 'a [])
				Array.tryExactlyOne : ('a [] -> 'a option)
				Array.tryFind : (('a -> bool) -> 'a [] -> 'a option)
				Array.tryFindBack : (('a -> bool) -> 'a [] -> 'a option)
				Array.tryFindIndex : (('a -> bool) -> 'a [] -> int option)
				Array.tryFindIndexBack : (('a -> bool) -> 'a [] -> int option)
				Array.tryHead : ('a [] -> 'a option)
				Array.tryItem : (int -> 'a [] -> 'a option)
				Array.tryLast : ('a [] -> 'a option)
				Array.tryPick : (('a -> 'b option) -> 'a [] -> 'b option)
				Array.unfold : (('a -> ('b * 'a) option) -> 'a -> 'b [])
				Array.unzip : (('a * 'b) [] -> 'a [] * 'b [])
				Array.unzip3 : (('a * 'b * 'c) [] -> 'a [] * 'b [] * 'c [])
				Array.updateAt : ???
				Array.where : (('a -> bool) -> 'a [] -> 'a [])
				Array.windowed : (int -> 'a [] -> 'a [] [])
				Array.zeroCreate : (int -> 'a [])
				Array.zip : ('a [] -> 'b [] -> ('a * 'b) [])
				Array.zip3 : ('a [] -> 'b [] -> 'c [] -> ('a * 'b * 'c) [])
	CCArray.( -- ) : int -> int -> int t			
	CCArray.( --^ ) : int -> int -> int t			
	CCArray.( >>= ) : 'a t -> ('a -> 'b t) -> 'b t			
	CCArray.( >>| ) : 'a t -> ('a -> 'b) -> 'b t			
	CCArray.( >|= ) : 'a t -> ('a -> 'b) -> 'b t			
	CCArray.( and* ) : 'a array -> 'b array -> ('a * 'b) array			
	CCArray.( and+ ) : 'a array -> 'b array -> ('a * 'b) array			
	CCArray.( let* ) : 'a array -> ('a -> 'b array) -> 'b array			
	CCArray.( let+ ) : 'a array -> ('a -> 'b) -> 'b array			
				Array.Parallel.choose : (('a -> 'b option) -> 'a [] -> 'b [])
				Array.Parallel.collect : (('a -> 'b []) -> 'a [] -> 'b [])
				Array.Parallel.init : (int -> (int -> 'a) -> 'a [])
				Array.Parallel.iter : (('a -> unit) -> 'a [] -> unit)
				Array.Parallel.iteri : ((int -> 'a -> unit) -> 'a [] -> unit)
				Array.Parallel.map : (('a -> 'b) -> 'a [] -> 'b [])
				Array.Parallel.mapi : ((int -> 'a -> 'b) -> 'a [] -> 'b [])
				Array.Parallel.partition : (('a -> bool) -> 'a [] -> 'a [] * 'a [])
				Array2D.base1 : ('a [,] -> int)
				Array2D.base2 : ('a [,] -> int)
				Array2D.blit : ('a [,] -> int -> int -> 'a [,] -> int -> int -> int -> int -> unit)
				Array2D.copy : ('a [,] -> 'a [,])
				Array2D.create : (int -> int -> 'a -> 'a [,])
				Array2D.createBased : (int -> int -> int -> int -> 'a -> 'a [,])
				Array2D.get : ('a [,] -> int -> int -> 'a)
				Array2D.init : (int -> int -> (int -> int -> 'a) -> 'a [,])
				Array2D.initBased : (int -> int -> int -> int -> (int -> int -> 'a) -> 'a [,])
				Array2D.iter : (('a -> unit) -> 'a [,] -> unit)
				Array2D.iteri : ((int -> int -> 'a -> unit) -> 'a [,] -> unit)
				Array2D.length1 : ('a [,] -> int)
				Array2D.length2 : ('a [,] -> int)
				Array2D.map : (('a -> 'b) -> 'a [,] -> 'b [,])
				Array2D.mapi : ((int -> int -> 'a -> 'b) -> 'a [,] -> 'b [,])
				Array2D.rebase : ('a [,] -> 'a [,])
				Array2D.set : ('a [,] -> int -> int -> 'a -> unit)
				Array2D.zeroCreate : (int -> int -> 'a [,])
				Array2D.zeroCreateBased : (int -> int -> int -> int -> 'a [,])
				Array3D.create : (int -> int -> int -> 'a -> 'a [,,])
				Array3D.get : ('a [,,] -> int -> int -> int -> 'a)
				Array3D.init : (int -> int -> int -> (int -> int -> int -> 'a) -> 'a [,,])
				Array3D.iter : (('a -> unit) -> 'a [,,] -> unit)
				Array3D.iteri : ((int -> int -> int -> 'a -> unit) -> 'a [,,] -> unit)
				Array3D.length1 : ('a [,,] -> int)
				Array3D.length2 : ('a [,,] -> int)
				Array3D.length3 : ('a [,,] -> int)
				Array3D.map : (('a -> 'b) -> 'a [,,] -> 'b [,,])
				Array3D.mapi : ((int -> int -> int -> 'a -> 'b) -> 'a [,,] -> 'b [,,])
				Array3D.set : ('a [,,] -> int -> int -> int -> 'a -> unit)
				Array3D.zeroCreate : (int -> int -> int -> 'a [,,])
				Array4D.create : (int -> int -> int -> int -> 'a -> 'a [,,,])
				Array4D.get : ('a [,,,] -> int -> int -> int -> int -> 'a)
				Array4D.init : (int -> int -> int -> int -> (int -> int -> int -> int -> 'a) -> 'a [,,,])
				Array4D.length1 : ('a [,,,] -> int)
				Array4D.length2 : ('a [,,,] -> int)
				Array4D.length3 : ('a [,,,] -> int)
				Array4D.length4 : ('a [,,,] -> int)
				Array4D.set : ('a [,,,] -> int -> int -> int -> int -> 'a -> unit)
				Array4D.zeroCreate : (int -> int -> int -> int -> 'a [,,,])
	CCListLabels.add_nodup : eq:('a -> 'a -> bool) -> 'a -> 'a t -> 'a t			
			Base.List.all : 'a t list -> 'a list t	
			Base.List.all_equal : 'a t -> equal:('a -> 'a -> bool) -> 'a option	
	CCListLabels.all_ok : ('a, 'err) result t -> ('a t, 'err) result			
	CCListLabels.all_some : 'a option t -> 'a t option			
			Base.List.all_unit : unit t list -> unit t	
				
ListLabels.append : 'a list -> 'a list -> 'a list	CCListLabels.append : 'a t -> 'a t -> 'a t		Base.List.append : 'a t -> 'a t -> 'a t	
ListLabels.assoc : 'a -> ('a * 'b) list -> 'b	CCListLabels.assoc : eq:('a -> 'a -> bool) -> 'a -> ('a * 'b) t -> 'b			
ListLabels.assoc_opt : 'a -> ('a * 'b) list -> 'b option	CCListLabels.assoc_opt : eq:('a -> 'a -> bool) -> 'a -> ('a * 'b) t -> 'b option			
ListLabels.assq : 'a -> ('a * 'b) list -> 'b	CCListLabels.assq : 'a -> ('a * 'b) list -> 'b			
ListLabels.assq_opt : 'a -> ('a * 'b) list -> 'b option	CCListLabels.assq_opt : 'a -> ('a * 'b) t -> 'b option			
			Base.List.bind : 'a t -> f:('a -> 'b t) -> 'b t	
	CCListLabels.cartesian_product : 'a t t -> 'a t t			
			Base.List.cartesian_product : 'a t -> 'b t -> ('a * 'b) t	
	CCListLabels.chunks : int -> 'a list -> 'a list list		Base.List.chunks_of : 'a t -> length:int -> 'a t t	
ListLabels.combine : 'a list -> 'b list -> ('a * 'b) list	CCListLabels.combine : 'a list -> 'b list -> ('a * 'b) list		Base.List.zip_exn : 'a t -> 'b t -> ('a * 'b) t	
	CCListLabels.combine_gen : 'a list -> 'b list -> ('a * 'b) gen			
	CCListLabels.combine_shortest : 'a list -> 'b list -> ('a * 'b) list			
ListLabels.compare : cmp:('a -> 'a -> int) -> 'a list -> 'a list -> int	CCListLabels.compare : ('a -> 'a -> int) -> 'a t -> 'a t -> int		Base.List.compare : 'a Base__Ppx_compare_lib.compare -> 'a t Base__Ppx_compare_lib.compare	
ListLabels.compare_length_with : 'a list -> len:int -> int	CCListLabels.compare_length_with : 'a t -> int -> int			
ListLabels.compare_lengths : 'a list -> 'b list -> int	CCListLabels.compare_lengths : 'a t -> 'b t -> int			
ListLabels.concat : 'a list list -> 'a list	CCListLabels.concat : 'a list list -> 'a list	BatList.Labels.concat_map : f:('a -> 'b list) -> 'a list -> 'b list	Base.List.concat : 'a t t -> 'a t	
ListLabels.concat_map : f:('a -> 'b list) -> 'a list -> 'b list	CCListLabels.concat_map : f:('a -> 'b list) -> 'a list -> 'b list		Base.List.concat_map : 'a t -> f:('a -> 'b t) -> 'b t	
			Base.List.concat_mapi : 'a t -> f:(int -> 'a -> 'b t) -> 'b t	
			Base.List.concat_no_order : 'a t t -> 'a t	
ListLabels.cons : 'a -> 'a list -> 'a list	CCListLabels.cons : 'a -> 'a t -> 'a t		Base.List.cons : 'a -> 'a t -> 'a t	
			Base.List.contains_dup : 'a t -> compare:('a -> 'a -> int) -> bool	
	CCListLabels.cons' : 'a t -> 'a -> 'a t			
	CCListLabels.cons_maybe : 'a option -> 'a t -> 'a t			
	CCListLabels.count : f:('a -> bool) -> 'a list -> int		Base.List.count : 'a t -> f:('a -> bool) -> int	
			Base.List.counti : 'a t -> f:(int -> 'a -> bool) -> int	
		BatList.Labels.count_matching : f:('a -> bool) -> 'a list -> int		
	CCListLabels.count_true_false : f:('a -> bool) -> 'a list -> int * int			
			Base.List.dedup_and_sort : 'a t -> compare:('a -> 'a -> int) -> 'a t	
	CCListLabels.diagonal : 'a t -> ('a * 'a) t			
	CCListLabels.drop : int -> 'a t -> 'a t		Base.List.drop : 'a t -> int -> 'a t	
			Base.List.drop_last : 'a t -> 'a t option	
			Base.List.drop_last_exn : 'a t -> 'a t	
	CCListLabels.drop_while : f:('a -> bool) -> 'a t -> 'a t	BatList.Labels.drop_while : f:('a -> bool) -> 'a list -> 'a list	Base.List.drop_while : 'a t -> f:('a -> bool) -> 'a t	
	CCListLabels.empty : 'a t			
ListLabels.equal : eq:('a -> 'a -> bool) -> 'a list -> 'a list -> bool	CCListLabels.equal : ('a -> 'a -> bool) -> 'a t -> 'a t -> bool		Base.List.equal : ('a -> 'a -> bool) -> 'a t -> 'a t -> bool	
ListLabels.exists : f:('a -> bool) -> 'a list -> bool	CCListLabels.exists : f:('a -> bool) -> 'a list -> bool	BatList.Labels.exists : f:('a -> bool) -> 'a list -> bool	Base.List.exists : 'a t -> f:('a -> bool) -> bool	
			Base.List.exists2 : 'a t -> 'b t -> f:('a -> 'b -> bool) -> bool Or_unequal_lengths.t	
ListLabels.exists2 : f:('a -> 'b -> bool) -> 'a list -> 'b list -> bool	CCListLabels.exists2 : f:('a -> 'b -> bool) -> 'a list -> 'b list -> bool	BatList.Labels.exists2 : f:('a -> 'b -> bool) -> 'a list -> 'b list -> bool	Base.List.exists2_exn : 'a t -> 'b t -> f:('a -> 'b -> bool) -> bool	
			Base.List.existsi : 'a t -> f:(int -> 'a -> bool) -> bool	
ListLabels.fast_sort : cmp:('a -> 'a -> int) -> 'a list -> 'a list	CCListLabels.fast_sort : cmp:('a -> 'a -> int) -> 'a list -> 'a list	BatList.Labels.fast_sort : ?cmp:('a -> 'a -> int) -> 'a list -> 'a list		
ListLabels.filter : f:('a -> bool) -> 'a list -> 'a list	CCListLabels.filter : f:('a -> bool) -> 'a t -> 'a t	BatList.Labels.filter : f:('a -> bool) -> 'a list -> 'a list	Base.List.filter : 'a t -> f:('a -> bool) -> 'a t	
ListLabels.filter_map : f:('a -> 'b option) -> 'a list -> 'b list	CCListLabels.filter_map : f:('a -> 'b option) -> 'a t -> 'b t	BatList.Labels.filter_map : f:('a -> 'b option) -> 'a list -> 'b list	Base.List.filter_map : 'a t -> f:('a -> 'b option) -> 'b t	
			Base.List.filter_mapi : 'a t -> f:(int -> 'a -> 'b option) -> 'b t	
			Base.List.filter_opt : 'a option t -> 'a t	
ListLabels.filteri : f:(int -> 'a -> bool) -> 'a list -> 'a list	CCListLabels.filteri : f:(int -> 'a -> bool) -> 'a list -> 'a list		Base.List.filteri : 'a t -> f:(int -> 'a -> bool) -> 'a t	
ListLabels.find : f:('a -> bool) -> 'a list -> 'a	CCListLabels.find : f:('a -> bool) -> 'a list -> 'a	BatList.Labels.find : f:('a -> bool) -> 'a list -> 'a	Base.List.find_exn : 'a t -> f:('a -> bool) -> 'a	
			Base.List.find_a_dup : 'a t -> compare:('a -> 'a -> int) -> 'a option	
ListLabels.find_all : f:('a -> bool) -> 'a list -> 'a list	CCListLabels.find_all : f:('a -> bool) -> 'a list -> 'a list	BatList.Labels.find_all : f:('a -> bool) -> 'a list -> 'a list		
			Base.List.find_all_dups : 'a t -> compare:('a -> 'a -> int) -> 'a list	
			Base.List.find_consecutive_duplicate : 'a t -> equal:('a -> 'a -> bool) -> ('a * 'a) option	
		BatList.Labels.find_exn : f:('a -> bool) -> exn -> 'a list -> 'a		
	CCListLabels.find_idx : f:('a -> bool) -> 'a t -> (int * 'a) option			
ListLabels.find_map : f:('a -> 'b option) -> 'a list -> 'b option	CCListLabels.find_map : f:('a -> 'b option) -> 'a t -> 'b option		Base.List.find_map : 'a t -> f:('a -> 'b option) -> 'b option	
			Base.List.find_map_exn : 'a t -> f:('a -> 'b option) -> 'b	
		BatList.Labels.find_map_opt : f:('a -> 'b option) -> 'a list -> 'b option		
	CCListLabels.find_mapi : f:(int -> 'a -> 'b option) -> 'a t -> 'b option		Base.List.find_mapi : 'a t -> f:(int -> 'a -> 'b option) -> 'b option	
			Base.List.find_mapi_exn : 'a t -> f:(int -> 'a -> 'b option) -> 'b	
ListLabels.find_opt : f:('a -> bool) -> 'a list -> 'a option	CCListLabels.find_opt : f:('a -> bool) -> 'a t -> 'a option		Base.List.find : 'a t -> f:('a -> bool) -> 'a option	
	CCListLabels.find_pred : f:('a -> bool) -> 'a t -> 'a option			
	CCListLabels.find_pred_exn : f:('a -> bool) -> 'a t -> 'a			
			Base.List.findi : 'a t -> f:(int -> 'a -> bool) -> (int * 'a) option	
		BatList.Labels.findi : f:(int -> 'a -> bool) -> 'a list -> int * 'a	Base.List.findi_exn : 'a t -> f:(int -> 'a -> bool) -> int * 'a	
	CCListLabels.flat_map : f:('a -> 'b t) -> 'a t -> 'b t			
	CCListLabels.flat_map_i : f:(int -> 'a -> 'b t) -> 'a t -> 'b t			
ListLabels.flatten : 'a list list -> 'a list	CCListLabels.flatten : 'a t t -> 'a t			
		BatList.Labels.fold : f:('a -> 'b -> 'a) -> init:'a -> 'b list -> 'a	Base.List.fold : 'a t -> init:'accum -> f:('accum -> 'a -> 'accum) -> 'accum	
			Base.List.fold2 : 'a t -> 'b t -> init:'c -> f:('c -> 'a -> 'b -> 'c) -> 'c Or_unequal_lengths.t	
			Base.List.fold2_exn : 'a t -> 'b t -> init:'c -> f:('c -> 'a -> 'b -> 'c) -> 'c	
